"Action","Åtgärd"
"All types","Alla typer"
"An error occurred while creating the backup.","An error occurred while creating the backup."
"An error occurred while writing to the backup file ""%s"".","An error occurred while writing to the backup file ""%s""."
"Are you sure you want to delete the selected backup(s)?","Are you sure you want to delete the selected backup(s)?"
"Backup Type","Backup Type"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" cannot be read from or written to.","Backup file ""%s"" cannot be read from or written to."
"Backup file ""%s"" does not exist.","Backup file ""%s"" does not exist."
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file does not exist.","Backup file does not exist."
"Backup file doesn't exist","Säkerhetskopia existerar inte"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file handler was unspecified.","Backup file handler was unspecified."
"Backup file not found","Backup file not found"
"Backup file path don't specify","Backup file path don't specify"
"Backup file path was not specified.","Backup file path was not specified."
"Backups","Säkerhetskopior"
"Cannot read backup file","Kan inte läsa säkerhetskopia"
"Cannot read backup file.","Cannot read backup file."
"Create Backup","Skapa säkerhetskopia"
"DB","DB"
"Database Backup","Database Backup"
"Database and Media Backup","Database and Media Backup"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Ladda ner"
"Enable Scheduled Backup","Enable Scheduled Backup"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"Failed to connect to FTP","Failed to connect to FTP"
"Failed to delete one or several backups.","Failed to delete one or several backups."
"Failed to rollback","Failed to rollback"
"Failed to validate FTP","Failed to validate FTP"
"File compressed with Zlib, but this extension is not installed on server","Filen är komprimerad med Zlib men tyvärr finns inte Zlib installerad på servern"
"Frequency","Frequency"
"Invalid Password.","Invalid Password."
"Maintenance Mode","Maintenance Mode"
"Name","Name"
"Not enough free space to create backup.","Not enough free space to create backup."
"Not enough permissions to create backup.","Not enough permissions to create backup."
"Not enough permissions to perform rollback","Not enough permissions to perform rollback"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback."""
"Put store on the maintenance mode while backup's creation","Put store on the maintenance mode while backup's creation"
"Rollback","Rollback"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Size, Bytes","Size, Bytes"
"Size, byte","Size, byte"
"Start Time","Start Time"
"System Backup","System Backup"
"System couldn't put store on the maintenance mode","System couldn't put store on the maintenance mode"
"The database and media backup has been created.","The database and media backup has been created."
"The database backup has been created.","The database backup has been created."
"The file was compressed with Zlib, but this extension is not installed on server.","The file was compressed with Zlib, but this extension is not installed on server."
"The selected backup(s) has been deleted.","The selected backup(s) has been deleted."
"The system (excluding Media) backup has been created.","The system (excluding Media) backup has been created."
"The system backup has been created.","The system backup has been created."
"Time","Tid"
"Type","Typ"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Unable to save the cron expression.","Unable to save the cron expression."
"Wrong order of creation for new backup","Felaktig skapelseordning för ny säkerhetskopia"
"Wrong order of creation for new backup.","Wrong order of creation for new backup."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","You do not have sufficient permissions to enable Maintenance Mode during this operation."
