"# of Use","Använt antal"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s artiklar"
"%s and above","%s and above"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiera data från: %s)"
"(Will make search for the query above return results for this search.)","Innebär att sökningar på ovanstående sökord ger samma resultat som sökningar på detta."
"* Required Fields","* Required Fields"
"-- Please Select --","-- Vänligen välj --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","A group with the same name already exists."
"A name is required","Ett namn är nödvändigt"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"ALL GROUPS","ALLA GRUPPER"
"AM","AM"
"Action","Åtgärd"
"Actual Price","Actual Price"
"Add","Add"
"Add Attribute","Lägg till attribut"
"Add Design Change","Lägg till designändring"
"Add Group","Lägg till grupp"
"Add Group Price","Add Group Price"
"Add Items to Cart","Lägg produkter i varukorgen"
"Add New","Lägg till ny"
"Add New Attribute","Lägg till nytt attribut"
"Add New Attribute Set","Lägg till ny attributmängd"
"Add New Group","Lägg till ny grupp"
"Add New Images","Lägg till nya bilder"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Lägg till ny sökterm"
"Add New Set","Lägg till ny mängd"
"Add Option","Lägg till alternativ"
"Add Product","Lägg till produkt"
"Add Product To Websites","Lägg till produkt till webbplatser"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Lägg till nivå"
"Add attribute into attribute set","Add attribute into attribute set"
"Add group into attribute set","Add group into attribute set"
"Add new custom option into product","Add new custom option into product"
"Add new values into custom option","Add new values into custom option"
"Add option","Add option"
"Add to Cart","Lägg i varukorgen"
"Add to Compare","Lägg till jämförelse"
"Add to My Wishlist","Lägg till i min önskelista"
"Add to Wishlist","Lägg till i önskelista"
"Additional Information","Mer information"
"Alert Urls","Alert Urls"
"All","Alla"
"All Product Types","Alla produkttyper"
"All Websites","All Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow All Products per Page","Allow All Products per Page"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
"An error occurred while saving the product. ","An error occurred while saving the product. "
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving this group.","An error occurred while saving this group."
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Tillämpa på"
"Apply To Configurable/Grouped Product","Tillämpa på konfigurerbar/grupperad produkt"
"Approved","Godkänd"
"Are you sure you want to delete this category?","Är du säker på att du vill ta bort denna kategori?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Är du säker på att du vill ta bort denna produkt från jämförelsen?"
"Are you sure?","Är du säker?"
"As low as:","Så lågt som:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Relaterade produkter"
"Attrib. Set Name","Namn för attributmängd"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Code","Attributkod"
"Attribute Information","Information om attribut"
"Attribute Label","Attributetikett"
"Attribute Model","Attributmodell"
"Attribute Name:","Attributnamn:"
"Attribute Properties","Attributegenskaper"
"Attribute Set","Attributmängd"
"Attribute Sets","Attribute Sets"
"Attribute add","Attribute add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute group with the \""/name/\"" name already exists","Attribute group with the \""/name/\"" name already exists"
"Attribute model not defined","Attributmodell har inte definierats"
"Attribute remove","Attribute remove"
"Attribute with the same code already exists","Ett attribut med samma kod existerar redan"
"Attributes","Attribut"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Autogenerera"
"Availability","Availability"
"Availability:","Availability:"
"Availability: In stock.","Lagersaldo: finns i lager."
"Availability: Out of stock.","Lagersaldo: Ej i lager."
"Back","Tillbaka"
"Backend Model","Modell för administrationsdelen"
"Backend Table","Tabell för administrationsdelen"
"Backend Table Title","Titel för tabell för administrationsdelen"
"Backorders","Utestående beställningar"
"Base directory to upload image file is not specified","Baskatalog för uppladdning av bildfiler har inte angetts"
"Based On","Baserad på"
"Before Order Confirmation","Before Order Confirmation"
"Best Value","Mest för pengarna"
"Block after Info Column","Block after Info Column"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Nedre del/Vänster"
"Bottom/Right","Nedre del/Höger"
"Browse By","Bläddra utifrån"
"Bundle Items","Bundle Items"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Cache refresh needed.","Cache refresh needed."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Kan endast användas tillsammans med indatatyp för katalog satt till rullgardinsmeny"
