"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Add Minimum Qty","Add Minimum Qty"
"Allow Qty Below 0","Tillåt antal under 0"
"Allow Qty Below 0 and Notify Customer","Tillåt antal under 0 och meddela kund"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Backorders","Restnoterade beställningar"
"By Fixed value","Utifrån fixerat värde"
"By Percentage","Utifrån procent"
"Can not specify product identifier for order item","Kan inte ange produktidentifierare för artikel"
"Cannot specify product identifier for the order item.","Cannot specify product identifier for the order item."
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Minska lagersaldo när beställning har lagts"
"Display Out of Stock Products","Display Out of Stock Products"
"Enable Qty Increments","Enable Qty Increments"
"In Stock","In Stock"
"Index Product Stock Status","Index Product Stock Status"
"Inventory","Inventering"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Högst antal artiklar tillåtna i varukorg"
"Minimum Qty","Minimum Qty"
"Minimum Qty Allowed in Shopping Cart","Lägst antal artiklar tillåtna i varukorg"
"No Backorders","Inga restnoterade beställningar"
"Not all products are available in the requested quantity","Not all products are available in the requested quantity"
"Notify for Quantity Below","Meddela när lagersaldo är under"
"Only X left Threshold","Only X left Threshold"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty Increments","Qty Increments"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Prisregel"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in requested quantity.","Some of the products cannot be ordered in requested quantity."
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Some of the products cannot be ordered in the requested quantity.","Some of the products cannot be ordered in the requested quantity."
"Stock Options","Lageralternativ"
"Stock Status","Stock Status"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","Begärt antal av ""%s"" finns inte i lager."
"The requested quantity is not available.","Antalet du har begärt är mer än vad som finns i lager."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is available for purchase in increments of %s only.","This product is available for purchase in increments of %s only."
"This product is currently out of stock.","This product is currently out of stock."
"This product is not available in the requested quantity. %s of the items will be backordered.","This product is not available in the requested quantity. %s of the items will be backordered."
"To Fixed Value","Till fixerat värde"
"To Percentage","Till procent"
"Undefined product type.","Undefined product type."
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Uppdatera produkten"
