"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"Actions","Åtgärder"
"Active","Aktiv"
"Add New Rule","Lägg till ny regel"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Apply"
"Apply Rules","Tillämpa regler"
"Attribute Set","Attributmängd"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Catalog","Katalog"
"Catalog Price Rule","Prisregel för katalog"
"Catalog Price Rules","Prisregler för katalog"
"Category","Kategori"
"Comments History","Historik för kommentarer"
"Conditions","Villkor"
"Conditions (leave blank for all products)","Villkor (lämna tom för alla produkter)"
"Conditions Combination","Kombinera villkor"
"Credit Memos","Kreditnotor"
"Customer Groups","Kundgrupper"
"Customer is new buyer: %s","Kunden är en ny köpare: %s"
"Customer registered: %s","Kunden registrerade sig: %s"
"Date Expire","Utgångsdatum"
"Date From","Datum från"
"Date Start","Startdatum"
"Date To","Datum till"
"Delete Rule","Ta bort regel"
"Description","Beskrivning"
"Description: %s","Beskrivning: %s"
"Discount Amount","Discount Amount"
"Edit Rule","Ändra regel"
"Edit Rule '%s'","Ändra regeln '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Expire at: %s","Går ut: %s"
"From Date","Från datum"
"General Information","Allmän information"
"Gift Messages","Presentmeddelande"
"ID","ID"
"Inactive","Inaktiv"
"Invoices","Fakturor"
"NOT LOGGED IN","EJ INLOGGAD"
"Name: %s","Namn: %s"
"New Rule","Ny regel"
"No","Nej"
"Options","Alternativ"
"Order Credit Memos","Kreditnotor för beställning"
"Order Gift Messages","Presentmeddelanden för beställning"
"Order History","Historik för beställningar"
"Order Invoices","Beställningsfakturor"
"Order Shipments","Beställningsförsändelser"
"Priority","Prioritet"
"Product Attribute","Produktattribut"
"Promotions","Marknadsföring"
"Rule Information","Information om regel"
"Rule Name","Regelnamn"
"Rule was successfully deleted","Regeln har tagits bort"
"Rule was successfully saved","Regeln har sparats"
"Rules were successfully applied","Regeln har tillämpats"
"Save Rule","Spara regel"
"Save and Apply","Spara och tillämpa"
"Save and Continue Edit","Save and Continue Edit"
"Shipments","Försändelser"
"Start at: %s","Börja vid: %s"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Stop further rules processing","Stoppa ytterligare regler från att behandlas"
"The page you are trying to save no longer exists","Sidan du försöker att spara existerar inte längre"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists","Denna regel existerar inte längre"
"This rule no longer exists.","This rule no longer exists."
"To Date","Till datum"
"To Fixed Amount","To Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Unable to apply rules","Det gick inte att tillämpa reglerna"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a page to delete","Sidan gick inte att ta bort då den inte kunde hittas"
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Uppdatera produktens %s %s: %s"
"Website","Website"
"Websites","Webbplatser"
"Wrong rule specified.","Wrong rule specified."
"Yes","Ja"
