"%s was added to your shopping cart.","%s was added to your shopping cart."
"%s was successfully added to your shopping cart.","%s placerades i din varukorg."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"&laquo; Back to Billing Information","Tillbaka till fakturainformation"
"&laquo; Back to Select Addresses","&laquo; Tillbaka till val av adress"
"&laquo; Back to Shopping Cart","&laquo; Tillbaka till varukorg"
"* Required Fields","* Obligatoriska fält"
"Add New Address","&laquo; Lägg till ny adress"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","Lägg till i varukorg"
"Add to Compare","Lägg till jämförelse"
"Add to Wishlist","Lägg till önskelista"
"Additional Product Info","Additional Product Info"
"Address","Adress"
"Address %s of %s","Adress %s av %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"After adding a product redirect to shopping cart","Efter att en produkt har lagts till, omdirigera till varukorg"
"Allow Guest Checkout","Tillåt gäster att använda kassan"
"Already registered?","Redan registrerad?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","Använd kupong"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker på att du vill ta bort denna produkt från varukorgen?"
"Back","Tillbaka"
"Back to Billing Information","Back to Billing Information"
"Back to Select Addresses","Back to Select Addresses"
"Back to Shipping Information","Tillbaka till information om leverans"
"Back to Shopping Cart","Back to Shopping Cart"
"Based on your selection, you may be interested in the following items:","Utifrån produkterna du redan tittat på, vill vi rekommendera dessa:"
"Billing Address","Fakturaadress"
"Billing Information","Fakturaadress"
"Billing Information - %s","Faktura information - %s"
"Can not add item to shopping cart","Det gick inte att lägga produkten i varukorgen"
"Can not apply coupon code.","Det gick inte att använda kupongkoden."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Använd inte kupong"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove item","Det gick inte att ta bort produkten"
"Cannot remove the item.","Cannot remove the item."
"Cannot update shopping cart","Det gick inte att uppdatera varukorgen"
"Cannot update shopping cart.","Cannot update shopping cart."
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","Verifieringsnummer för kort"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Totalt:"
"Change","Change"
"Change Billing Address","Ändra fakturaadress"
"Checkbox Text","Checkbox Text"
"Checkbox text","Checkbox text"
"Checkout","Till kassan"
"Checkout Conditions","Checkout Conditions"
"Checkout Method","Checkout Method"
"Checkout Options","Alternativ för kassa"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Genomför köp som gäst"
"Checkout as a Guest or Register","Genomför köp som gäst eller registrera dig"
"Checkout method","Välj köpmetod"
"Checkout with Multiple Addresses","Genomför köp med flera adresser"
"City","Stad"
"Clear Shopping Cart","Clear Shopping Cart"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to continue shopping."
"Close","Stäng"
"Company","Företag"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable Product Image","Configurable Product Image"
"Configurable product image","Bild för konfigurerbar produkt"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Bekräfta lösenord"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Nästa"
"Continue Shopping","Fortsätt handla"
"Continue to Billing Information","Fortsätt till fakturainformation"
"Continue to Review Your Order","Fortsätt för att granska din beställning"
"Continue to Shipping Information","Fortsätt till information om frakt"
"Country","Land"
"Coupon code ""%s"" is not valid.","Kupongkoden ""%s"" är inte giltig."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was canceled successfully.","Kupongkoden kommer inte att användas."
"Coupon code was canceled.","Coupon code was canceled."
"Create Billing Address","Skapa fakturaadress"
"Create Shipping Address","Skapa en leveransadress"
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer Address is not valid.","Customer Address is not valid."
"Customer Information","Customer Information"
