"Abandoned Carts","Abandoned Carts"
"Abandoned carts","Övergivna varukorgar"
"Action","Action"
"Add to Cart","Lägg till i varukorgen"
"Add to Compare","Lägg till jämförelse"
"Add to Wishlist","Lägg till önskelistan"
"Any","Any"
"Applied Coupon","Använda kuponger"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Are you sure?","Are you sure?"
"Avg. Approved Rating","Avg. Approved Rating"
"Avg. Rating","Avg. Rating"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Bästsäljare"
"Bought from wishlists","Köpta från önskelistor"
"CSV","CSV"
"Carrier/Method","Speditör/metod"
"Carts","Varukorgar"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Coupons","Kuponger"
"Coupons Usage Report","Coupons Usage Report"
"Created At","Created At"
"Created at","Skapades den"
"Current Month Starts","Current Month Starts"
"Customer","Kund"
"Customer Name","Kunds namn"
"Customer Tags","Kundetiketter"
"Customers","Kunder"
"Customers Report","Kundrapporter"
"Customers Reviews","Kunders betyg"
"Customers Tags","Kunders etiketter"
"Customers by Number of Orders","Customers by Number of Orders"
"Customers by Orders Total","Customers by Orders Total"
"Customers by number of orders","Kunder utifrån antal beställningar"
"Customers by orders total","Kunder utifrån totalsumma"
"Customers that have wishlist: %s%","Kunder som har önskelistor: %s%"
"Dashboard","Dashboard"
"Day","Dag"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Description","Description"
"Detail","Detalj"
"Discounts","Rabatter"
"Downloads","Downloads"
"Email","E-post"
"Empty Rows","Empty Rows"
"Excel","Excel"
