"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Åtgärder"
"Active","Aktiv"
"Add New Rule","Lägg till ny regel"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Använd"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","Använd regeln endast om följande villkor är uppfyllda (lämna tomt för att inkludera alla produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Använd regeln endast på produkter i varukorgen som uppfyller följande villkor (lämna tomt för att inkludera alla produkter)"
"Apply the rule to cart items matching the following conditions","Använd regeln endast på produkter i varukorgen som uppfyller följande villkor"
"Apply to","Använd på"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Buy X get Y free (discount amount is Y)","Köp X få Y gratis (rabattbeloppet är Y)"
"By Fixed Amount","Utifrån fast belopp"
"By Fixed value","Utifrån fast värde"
"By Percentage","Utifrån procent"
"By Percentage of the original price","Utifrån procent av orginalpris"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","Attribut för varukorg"
"Catalog","Katalog"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions","Villkor"
"Conditions combination","Kombinera villkor"
"Coupon","Coupon"
"Coupon Code","Kupongkod"
"Coupon Qty","Coupon Qty"
"Coupon code","Kupongkod"
"Coupon with the same code","Coupon with the same code"
"Coupons Information","Coupons Information"
"Created On","Created On"
"Customer Groups","Kundgrupper"
"Customer is new buyer: %s","Kunden handlar för första gången: %"
"Customer registered: %s","Kunden registrerades: %s"
"Dash Every X Characters","Dash Every X Characters"
"Date Expire","Utgångsdatum"
"Date Start","Startdatum"
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Delete Rule","Ta bort regel"
"Description","Beskrivning"
"Description: %s","Beskrivning: %s"
"Discount Amount","Discount Amount"
"Discount Qty Step (Buy X)","Antal steg för rabatt (köp X)"
"Discount amount","Rabatt"
"Edit Rule","Ändra regel"
"Edit Rule '%s'","Ändra på regeln '%s'"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Expire at: %s","Utgå vid: %s"
"FOUND","FOUND"
"Fixed amount discount","Fast rabattbelopp"
"Fixed amount discount for whole cart","Fast rabattbelopp för hela varukorgen"
"For matching items only","Endast för matchande produkter"
"For shipment with matching items","För leverans med matchande produkter"
"Free Shipping","Free Shipping"
"Free shipping","Gratis frakt"
"From Date","Fråndatum"
"General Information","Allmän information"
"Generate","Generate"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","If empty no separation."
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Inactive","Inaktiv"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Labels"
"Manage Coupon Codes","Manage Coupon Codes"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Maximum Qty Discount is Applied to","Använd rabatt för maximalt antal på"
"NOT FOUND","NOT FOUND"
"NOT LOGGED IN","[Inte inloggad]"
"Name: %s","Namn: %s"
"New Rule","Ny regel"
"No","Nej"
"No Coupon","No Coupon"
"Not valid data provided","Not valid data provided"
"Number of Uses","Number of Uses"
"Numeric","Numeric"
"Payment Method","Betalningssätt"
"Percent of product price discount","Procent för rabatt baserad på produktpris"
"Period","Period"
"Price in cart","Pris i varukorgen"
"Priority","Prioritet"
"Product attribute combination","Kombination av produktattribut"
"Products subselection","Products subselection"
"Promotions","Marknadsföring"
"Public In RSS Feed","RSS-kanal för meddelande om tillhörighet"
"Quantity in cart","Antal i varukorgen"
"Row total in cart","Antal rader i varukorgen"
"Rule Information","Information om regel"
"Rule Name","Regelnamn"
"Rule is not defined","Rule is not defined"
"Rule was successfully deleted","Regeln har tagits bort"
"Rule was successfully saved","Regeln har sparats"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save Rule","Spara regeln"
"Save and Continue Edit","Save and Continue Edit"
"Shipping Country","Land för leverans"
"Shipping Method","Leveranssätt"
"Shipping Postcode","Postnummer för leverans"
"Shipping Region","Region för leverans"
"Shipping State/Province","Postadress för leverans"
"Shopping Cart Price Rule","Prisregel för varukorg"
"Shopping Cart Price Rules","Prisregler för varukorg"
"Special Price","Special Price"
"Special price","Specialpris"
"Specific Coupon","Specific Coupon"
"Start at: %s","Börja med: %s"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Stop further rules processing","Stoppa ytterligare regler från att behandlas"
"Store View Specific Labels","Store View Specific Labels"
"Subtotal","Summa (ex.moms)"
"Subtotal Amount","Subtotal Amount"
"The page you are trying to save no longer exists","Sidan du försöker att spara finns inte längre"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists","Denna regel finns inte längre"
"This rule no longer exists.","This rule no longer exists."
"Times Used","Times Used"
"To Date","Till"
"To Fixed Amount","Fast belopp för leveranser"
"To Fixed Value","Fast värde för leveranser"
"To Percentage","Procent för leverans"
"To Percentage of the original price","Procent av originalpriset för leverans"
"Total","Total"
"Total Amount","Total Amount"
"Total Items Quantity","Totalt antal artiklar"
"Total Weight","Totalvikt"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a page to delete","Sidan gick inte att ta bort då den inte kunde hittas"
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Uppdatera priser genom att använda följande information"
"Update product's %s %s: %s","Uppdatera produktens %s %s: %s"
"Update the Product","Uppdatera produkten"
"Use Auto Generation","Use Auto Generation"
"Used","Used"
"Uses per Coupon","Uses per Coupon"
"Uses per Customer","Uses per Customer"
"Uses per coupon","Antal gånger som en kupong får användas"
"Uses per customer","Antal gånger som en kund får använda en kupong"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Wrong rule specified."
"Yes","Ja"
"total amount","total amount"
"total quantity","total quantity"
