" for more information or "," for more information or "
" for more information or email us at ","för mer information eller kontakta oss genom e-post på"
"# of Items (and above)","Antal artiklar (och ovan)"
"# of Items vs. Destination","Antal artiklar kontra destination"
"Allow Shipping to Multiple Addresses","Allow Shipping to Multiple Addresses"
"Allow Shipping to multiple addresses","Tillåt leverans till flera adresser"
"An error occurred while import table rates.","An error occurred while import table rates."
"Calculate Handling Fee","Beräkna hanteringskostnad"
"Carrier:","Speditör:"
"City","Stad"
"Close Window","Stäng fönstret"
"Condition","Villkor"
"Country","Land"
"Date","Datum"
"Delivered on:","Levererades den:"
"Delivered to:","Levererades till:"
"Description","Beskrivning"
"Displayed Error Message","Visat felmeddelande"
"Divide to equal weight (one request)","Divide to equal weight (one request)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplikera rad  #%s (Land ""%s"", Region ""%s"", Postadress ""%s"" och värde ""%s"")"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")."
"Enabled","Aktiverad"
"Error:","Fel:"
"Export","Exportera"
"File has not been imported. See the following list of errors: %s","File has not been imported. See the following list of errors: %s"
"Fixed","Fast"
"Flat Rate","Fast avgift"
"Free Shipping","Gratis frakt"
"Google Sitemap Section","Google Sitemap Section"
"Handling Fee","Hanteringskostnad"
"Import","Importera"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s","Ogiltig %s ""%s"" i raden #%s"
"Invalid %s ""%s"" in the Row #%s.","Invalid %s ""%s"" in the Row #%s."
"Invalid Country ""%s"" in the Row #%s","Ogiltigt land ""%s"" i raden #%s"
"Invalid Country ""%s"" in the Row #%s.","Invalid Country ""%s"" in the Row #%s."
"Invalid Region/State ""%s"" in the Row #%s","Ogiltig region ""%s"" i raden #%s"
"Invalid Region/State ""%s"" in the Row #%s.","Invalid Region/State ""%s"" in the Row #%s."
"Invalid Shipping Price ""%s"" in the Row #%s","Ogiltig fraktavgift ""%s"" i raden #%s"
"Invalid Shipping Price ""%s"" in the Row #%s.","Invalid Shipping Price ""%s"" in the Row #%s."
"Invalid Table Rate code for type %s: %s","Ogiltig kod för tabellavgift för typen %s: %s"
"Invalid Table Rate code type: %s","Ogiltig kod för tabellavgift: %s"
"Invalid Table Rates File Format","Ogiltigt filformat för tabellavgifter"
"Invalid Table Rates format in the Row #%s","Invalid Table Rates format in the Row #%s"
"Local Time","Lokal tid"
"Location","Plats"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximum Qty Allowed for Shipping to Multiple Addresses"
"Maximum qty allowed for Shipping to multiple addresses","Maximalt antal för leverans till flera adresser"
"Method Name","Method Name"
"Method name","Metodnamn"
"Minimum Order Amount","Minimum Order Amount"
"Minimum order amount","Minimumbelopp för beställningar"
"N/A","Inte tillgängligt"
"None","Inga"
"Options","Alternativ"
"Order Subtotal (and above)","Mellansumma för beställningen (och ovan)"
"Origin","Ursprung"
"Per Order","Per beställning"
"Per Package","Per paket"
"Percent","Procent"
"Price","Pris"
"Price vs. Destination","Pris kontra destination"
"Region/State","Region"
"Service Type:","Servicetyp:"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Ship to Specific countries","Leverera till specifika länder"
"Ship to applicable countries","Leverera till godkända länder"
"Shipment #","Fraktnummer"
"Shipment Tracking Popup","Shipment Tracking Popup"
"Shipped or billed on:","Levererat/fakturerat den"
"Shipping Methods","Fraktsätt"
"Shipping Methods Section","Shipping Methods Section"
"Shipping Settings","Inställningar för leverans"
"Shipping Settings Section","Shipping Settings Section"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Show method if not applicable","Visa följande metod om inte tillgängligt"
"Signed by:","Signerat:"
"Sort Order","Sort Order"
"Sort order","Sortering"
"Status:","Status:"
"Store Pickup","Hämta i butik"
"Street Address","Street Address"
"Street Address Line 2","Street Address Line 2"
"Table Rates","Table Rates"
"Table rates","Tabellbelopp"
"The shipping module is not available for selected delivery country","Fraktmodulen är inte tillgänglig för valt land"
"The shipping module is not available for selected delivery country.","The shipping module is not available for selected delivery country."
"The shipping module is not available.","The shipping module is not available."
"There is no tracking available for this shipment.","Det finns inget spårningsnummer tillgängligt för denna försändelse."
"There is no tracking available.","Det finns ingen paketspårning tillgängligt."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Detta leveranssätt är för närvarande inte tillgängligt. Vänligen kontakta oss om du vill använda detta leveranssätt."
"This shipping method is not available, please specify ZIP-code","This shipping method is not available, please specify ZIP-code"
"Title","Titel"
"Track:","Spåra:"
"Tracking Information","Tracking Information"
"Tracking Number:","Spårningsnummer:"
"Tracking information is currently not available. Please ","Spårningsinformation är för närvarande inte tillgängligt. Vänligen"
"Tracking information is currently unavailable.","Spårningsinformation är för närvarande inte tillgängligt."
"Type","Typ"
"Use origin weight (few requests)","Use origin weight (few requests)"
"Weight (and above)","Vikt (och ovan)"
"Weight vs. Destination","Vikt kontra destination"
"Weight:","Vikt:"
"ZIP/Postal Code","Postadress"
"contact us","kontakta oss"
"email us at ","email us at "
