"All Websites","Alla sidor"
"Apply Discounts To FPT","Apply Discounts To FPT"
"Apply Percent Discounts To FPT","Tillämpa procentuell rabatt på fast produktmoms"
"Apply Tax To FPT","Tillämpa moms på fast produktmoms"
"Display Prices In Emails","Visa priser i e-post"
"Display Prices In Product Lists","Visa priser i produktlistor"
"Display Prices In Sales Modules","Visa priser i försäljningsmoduler"
"Display Prices On Product View Page","Visa priser på produktsidor"
"Enable FPT","Aktivera fast produktmoms"
"Excluding FPT","Exklusive fast produktmoms"
"Excluding FPT, FPT description, final price","Exklusive fast produktmoms, beskrivning för fast produktmoms, slutpris"
"Fixed Product Tax","Fast produktmoms"
"Fixed Product Taxes","Fast produktmoms"
"Include FPT In Subtotal","Inkludera fast produktmoms i delsumman"
"Including FPT and FPT description","Including FPT and FPT description"
"Including FPT and FPT description [excl. FPT VAT]","Inklusive fast produktmoms och beskrivning för fast produktmoms"
"Including FPT and FPT description [incl. FPT VAT]","Inklusive fast produktmoms och beskrivning för fast produktmoms"
"Including FPT only","Endast inklusive fast produktmoms"
"Total","Totalsumma"
"Total Incl. Tax","Total Incl. Tax"
"Total incl. tax","Totalsumma inkl. moms"
